Name            Location        Type    Namespace       Source  Reference Count Offcut Ref Count
errsave         0000643a        Data Label      Global  User Defined    2       0
drwaddr         00006c72        Data Label      Global  User Defined    3       0
ml_ocnt         00006C48
ml_mnhold       00006c4a
ml_ctrl         00006c4e
pblock          00006c5e
tikaddr         00006c76        Data Label      Global  User Defined    2       0
tiksav          00006c82        Data Label      Global  User Defined    4       0
trp13aret       00006d58        Data Label      Global  User Defined    2       0
trp14aret       00006d5c        Data Label      Global  User Defined    2       0
gl_xclip        00006d60        Data Label      Global  User Defined    1       0
gl_wclip        00006d62        Data Label      Global  User Defined    1       0
intin           00006d64        Data Label      Global  User Defined    10      1
gl_awind        00006ea0
gl_hbox         00006eac        Data Label      Global  User Defined    9       0
gl_yclip        00006eae        Data Label      Global  User Defined    1       0
intout          00006eb0
gl_tcolor       00006ec4        Data Label      Global  User Defined    4       0
gl_rmenu        00006ec6        Data Label      Global  User Defined    1       0
W_TREE          00006ede
gl_wschar       00006f9e        Data Label      Global  User Defined    12      0
gl_width        00006fb0        Data Label      Global  User Defined    9       0
gl_font         00006fb2        Data Label      Global  User Defined    3       0
gl_patt         00007036        Data Label      Global  User Defined    3       0
gl_rscreen      00007038        Data Label      Global  User Defined    2       0
gl_rfull        00007040        Data Label      Global  User Defined    1       0
ptsin           00007058
DOS_ERR         00007080        Data Label      Global  User Defined    18      0
W_ACTIVE        00007082
gl_newroot      0000724a
ptsout          00007250        Data Label      Global  User Defined    2       3
gl_hptschar     00007266        Data Label      Global  User Defined    3       0
gl_hsptschar    00007268        Data Label      Global  User Defined    3       0
gl_wbox         0000726a        Data Label      Global  User Defined    5       0
gl_fis          00007282        Data Label      Global  User Defined    3       0
gl_mntree       000072bc
gl_wtree        000072c2
gl_rzero        000072c6        Data Label      Global  User Defined    1       0
gl_nrows        00007336        Data Label      Global  User Defined    2       0
gl_src          0000733c        Data Label      Global  User Defined    3       2
havedesk        00007354
gl_wtop         0000736e
gl_dst          00007370        Data Label      Global  User Defined    4       0
gl_wptschar     00007390        Data Label      Global  User Defined    2       0
gl_wsptschar    00007392        Data Label      Global  User Defined    2       0
havefmt         0000739c
rs_hdr          000073c4
havegem         000073c8
gl_tmp          000073cc
D               000073e0        Data Label      Global  User Defined    8       0
gl_hchar        00009dfa        Data Label      Global  User Defined    11      0
indisp          00009e02        Data Label      Global  User Defined    4       0
desk_global     00009e0c
fmt_global      00009e6e
gem_global      00009e8c
romdata         00009eee
gl_height       00009f12        Data Label      Global  User Defined    7       0
rlr             00009f16        Data Label      Global  User Defined    38      0
gl_aname        00009f28
gl_ainfo        00009f44
