Name            Location        Type         Namespace  Source
prtbgval        00005fe8        Data Label      Global  User Defined
prtbend         00005fea        Data Label      Global  User Defined
prtbmval        00005fee        Data Label      Global  User Defined
prtbempty       00005ff6        Data Label      Global  User Defined
prtblines       00005ff8        Data Label      Global  User Defined
uptime          00005ffa        Data Label      Global  User Defined
prtbprez        00005ffe        Data Label      Global  User Defined
prtbodd         00006000        Data Label      Global  User Defined
prtbminval      00006002        Data Label      Global  User Defined
prtbdots        00006022        Data Label      Global  User Defined
prtbpmsk        00006024        Data Label      Global  User Defined
prtbomask       00006026        Data Label      Global  User Defined
prtbbits        00006028        Data Label      Global  User Defined
errdrv          0000602a        Data Label      Global  User Defined
run             0000602c        Data Label      Global  User Defined
prtbidx         00006030        Data Label      Global  User Defined
ram8x16         00006032        Data Label      Global  User Defined
prtbinvert      0000608c        Data Label      Global  User Defined
beptr           0000608e        Data Label      Global  User Defined
prtblow         0000609a        Data Label      Global  User Defined
prtbamon        0000609c        Data Label      Global  User Defined
date            0000609e        Data Label      Global  User Defined
prtbbol         000060a0        Data Label      Global  User Defined
prtbink         000060a2        Data Label      Global  User Defined
bcbx            000060a4        Data Label      Global  User Defined
buptr           000060f4        Data Label      Global  User Defined
endvdibss       00006100        Data Label      Global  User Defined

retsava         00006100        Data Label      Global  User Defined
x6104_unused    00006104        Data Label      Global  User Defined
gl_restype      00006108        Data Label      Global  User Defined
gl_rschange     0000610a        Data Label      Global  User Defined
gl_nextrez      0000610c        Data Label      Global  User Defined
ustak           0000610e        Data Label      Global  User Defined
ustak_end       0000618e        Data Label      Global  User Defined
diskin          00006192        Data Label      Global  User Defined
srsave          00006194        Data Label      Global  User Defined
savsr           00006196        Data Label      Global  User Defined
dspstk          0000619a        Data Label      Global  User Defined
crit_err        0000641e        Data Label      Global  User Defined
SAV2TRP         00006422        Data Label      Global  User Defined
savsup          00006426        Data Label      Global  User Defined
drawaddr        0000642a        Data Label      Global  User Defined
drawsp          0000642e        Data Label      Global  User Defined
drawstk         00006432        Data Label      Global  User Defined
ldivr           00006436        Data Label      Global  User Defined
errsave         0000643a        Data Label      Global  User Defined
errstk          0000683e        Data Label      Global  User Defined
ad_rso          00006c44        Data Label      Global  User Defined
ml_ocnt         00006c48        Data Label      Global  User Defined
